Province/State,Country/Region,Lat,Long,1/21/20 22:00,1/22/20 12:00,1/23/20 12:00,1/24/20 0:00,1/24/20 12:00,1/25/20 0:00,1/25/20 12:00,1/25/20 22:00,1/26/20 11:00,1/26/20 23:00,1/27/20 9:00,1/27/20 19:00,1/27/20 20:30,1/28/20 13:00,1/28/20 18:00,1/28/20 23:00,1/29/20 13:30,1/29/20 14:30,1/29/20 21:00,1/30/20 11:00,1/31/20 14:00,2/1/20 10:00,2/2/20 21:00,2/3/20 21:00,2/4/20 9:40,2/4/20 22:00,2/5/20 9:00,2/5/20 23:00,2/6/20 9:00,2/6/20 14:20,2/7/20 20:13,2/7/20 22:50,2/8/20 10:24,2/8/20 23:04,2/9/20 10:30,2/9/20 23:20,2/10/20 10:30,2/10/20 19:30,2/11/20 10:50,2/11/20 20:44,2/12/20 10:20,2/12/20 22:00,2/13/20 10:00,2/13/20 21:15,2/14/20 11:23
Anhui,Mainland China,31.825709999999997,117.2264,,1.0,9.0,15.0,15.0,39.0,39.0,60.0,60.0,70.0,70.0,70.0,106.0,106.0,106.0,152.0,152.0,152.0,200.0,200.0,237.0,297.0,408.0,480.0,480.0,530.0,530.0,591.0,591.0,591.0,665.0,733.0,733.0,779.0,779.0,830.0,830.0,830.0,860.0,889.0,889.0,910.0,910.0,934,934
Beijing,Mainland China,40.18238,116.4142,10.0,14.0,22.0,26.0,36.0,36.0,41.0,51.0,68.0,68.0,72.0,80.0,80.0,91.0,91.0,91.0,111.0,111.0,111.0,114.0,139.0,168.0,191.0,212.0,212.0,228.0,253.0,274.0,274.0,274.0,297.0,315.0,315.0,326.0,326.0,337.0,337.0,337.0,342.0,342.0,352.0,366.0,366.0,366,372
Chongqing,Mainland China,30.05718,107.874,5.0,6.0,9.0,27.0,27.0,57.0,57.0,75.0,75.0,110.0,110.0,110.0,132.0,132.0,132.0,147.0,147.0,147.0,165.0,182.0,211.0,247.0,300.0,337.0,337.0,366.0,376.0,389.0,400.0,400.0,415.0,426.0,428.0,446.0,450.0,468.0,473.0,486.0,489.0,505.0,509.0,518.0,525.0,529,532
Fujian,Mainland China,26.07783,117.9895,,1.0,5.0,5.0,10.0,10.0,18.0,18.0,35.0,35.0,56.0,59.0,59.0,80.0,80.0,82.0,84.0,84.0,101.0,101.0,120.0,144.0,159.0,179.0,179.0,194.0,205.0,215.0,215.0,215.0,224.0,239.0,239.0,250.0,250.0,261.0,261.0,261.0,267.0,272.0,272.0,279.0,279.0,281,281
Gansu,Mainland China,36.0611,103.8343,,,2.0,2.0,2.0,4.0,4.0,7.0,7.0,14.0,14.0,14.0,19.0,19.0,19.0,24.0,24.0,24.0,26.0,26.0,29.0,35.0,51.0,55.0,55.0,57.0,57.0,62.0,62.0,62.0,67.0,71.0,79.0,79.0,79.0,83.0,83.0,86.0,86.0,86.0,86.0,87.0,87.0,90,90
Guangdong,Mainland China,23.33841,113.42200000000001,17.0,26.0,32.0,53.0,53.0,78.0,78.0,98.0,111.0,146.0,151.0,151.0,151.0,207.0,207.0,241.0,277.0,277.0,311.0,354.0,436.0,535.0,683.0,725.0,797.0,870.0,895.0,944.0,970.0,970.0,1034.0,1075.0,1095.0,1120.0,1131.0,1151.0,1159.0,1159.0,1177.0,1219.0,1219.0,1241.0,1241.0,1261,1261
Guangxi,Mainland China,23.829079999999998,108.7881,,2.0,5.0,13.0,23.0,23.0,23.0,33.0,36.0,46.0,46.0,46.0,51.0,51.0,51.0,58.0,58.0,58.0,78.0,78.0,87.0,100.0,127.0,139.0,139.0,150.0,150.0,168.0,168.0,168.0,172.0,183.0,183.0,195.0,195.0,210.0,210.0,210.0,215.0,222.0,222.0,222.0,222.0,226,226
Guizhou,Mainland China,26.81536,106.8748,,1.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,12.0,12.0,29.0,29.0,46.0,56.0,56.0,64.0,64.0,69.0,71.0,71.0,81.0,89.0,89.0,96.0,99.0,109.0,109.0,109.0,127.0,131.0,133.0,135.0,135.0,140,140
Hainan,Mainland China,19.19673,109.7455,,4.0,5.0,8.0,8.0,17.0,19.0,19.0,22.0,22.0,33.0,33.0,33.0,40.0,40.0,43.0,43.0,43.0,43.0,46.0,52.0,62.0,71.0,79.0,79.0,91.0,91.0,100.0,106.0,106.0,117.0,124.0,124.0,128.0,131.0,136.0,138.0,138.0,144.0,151.0,157.0,157.0,157.0,158,159
Hebei,Mainland China,38.0428,114.5149,,1.0,1.0,2.0,2.0,8.0,8.0,13.0,13.0,18.0,18.0,18.0,33.0,33.0,33.0,48.0,48.0,48.0,65.0,65.0,82.0,96.0,113.0,126.0,126.0,135.0,135.0,157.0,157.0,157.0,172.0,195.0,195.0,206.0,206.0,218.0,218.0,218.0,239.0,251.0,251.0,265.0,265.0,283,283
Heilongjiang,Mainland China,47.861999999999995,127.7622,,,2.0,4.0,4.0,9.0,9.0,15.0,15.0,21.0,21.0,21.0,30.0,33.0,33.0,37.0,38.0,38.0,43.0,44.0,59.0,80.0,95.0,155.0,155.0,190.0,190.0,227.0,227.0,227.0,277.0,295.0,295.0,307.0,307.0,331.0,331.0,331.0,360.0,378.0,378.0,395.0,395.0,418,419
Henan,Mainland China,33.882020000000004,113.61399999999999,,5.0,5.0,9.0,9.0,32.0,32.0,83.0,83.0,128.0,128.0,128.0,168.0,168.0,168.0,206.0,206.0,206.0,278.0,278.0,352.0,422.0,566.0,675.0,675.0,764.0,764.0,851.0,851.0,851.0,914.0,981.0,981.0,1033.0,1033.0,1073.0,1073.0,1073.0,1105.0,1135.0,1135.0,1169.0,1169.0,1184,1184
Hubei,Mainland China,30.975640000000002,112.2707,270.0,444.0,444.0,549.0,549.0,729.0,761.0,1052.0,1058.0,1423.0,1423.0,1423.0,2714.0,2714.0,3554.0,3554.0,3554.0,3554.0,4586.0,4903.0,5806.0,7153.0,11177.0,13522.0,13522.0,16678.0,16678.0,19665.0,19665.0,19665.0,22112.0,24953.0,24953.0,27100.0,27100.0,29631.0,29631.0,31728.0,31728.0,33366.0,33366.0,48206.0,48206.0,51986,51986
Hunan,Mainland China,27.610409999999998,111.7088,1.0,4.0,9.0,24.0,24.0,43.0,43.0,69.0,69.0,100.0,100.0,100.0,100.0,143.0,143.0,221.0,221.0,221.0,277.0,277.0,332.0,389.0,521.0,521.0,593.0,661.0,661.0,711.0,711.0,711.0,772.0,803.0,803.0,838.0,838.0,879.0,879.0,879.0,912.0,946.0,946.0,968.0,968.0,988,988
Inner Mongolia,Mainland China,44.09448,113.9456,,,,1.0,1.0,2.0,7.0,7.0,7.0,11.0,11.0,11.0,11.0,15.0,15.0,16.0,16.0,16.0,16.0,19.0,20.0,23.0,27.0,34.0,34.0,42.0,42.0,46.0,46.0,46.0,50.0,52.0,52.0,54.0,54.0,58.0,58.0,58.0,58.0,58.0,60.0,61.0,61.0,65,65
Jiangsu,Mainland China,32.97027,119.464,,1.0,5.0,9.0,9.0,18.0,18.0,31.0,33.0,47.0,47.0,47.0,70.0,70.0,70.0,99.0,99.0,99.0,129.0,129.0,168.0,202.0,271.0,308.0,308.0,341.0,341.0,373.0,373.0,373.0,408.0,439.0,439.0,468.0,468.0,492.0,492.0,492.0,515.0,543.0,543.0,570.0,570.0,593,593
Jiangxi,Mainland China,27.614009999999997,115.7221,2.0,2.0,7.0,7.0,18.0,18.0,18.0,36.0,36.0,48.0,48.0,72.0,72.0,72.0,109.0,109.0,109.0,109.0,162.0,162.0,240.0,286.0,391.0,391.0,476.0,548.0,548.0,600.0,600.0,600.0,661.0,698.0,698.0,740.0,740.0,771.0,771.0,771.0,804.0,844.0,844.0,872.0,872.0,900,900
Jilin,Mainland China,43.66657,126.1917,,,1.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,8.0,8.0,9.0,9.0,9.0,14.0,14.0,14.0,17.0,31.0,42.0,42.0,54.0,54.0,59.0,59.0,59.0,65.0,69.0,69.0,78.0,78.0,80.0,80.0,81.0,81.0,83.0,83.0,84.0,84.0,86,86
Liaoning,Mainland China,41.292840000000005,122.6086,,2.0,3.0,4.0,4.0,15.0,17.0,19.0,21.0,23.0,27.0,27.0,27.0,34.0,34.0,36.0,39.0,39.0,39.0,41.0,48.0,63.0,70.0,74.0,74.0,81.0,88.0,89.0,91.0,94.0,99.0,99.0,105.0,105.0,107.0,107.0,108.0,108.0,111.0,116.0,116.0,116.0,117.0,117,119
Ningxia,Mainland China,37.26923,106.1655,,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,7.0,7.0,7.0,11.0,11.0,12.0,12.0,12.0,12.0,17.0,21.0,26.0,28.0,31.0,34.0,34.0,34.0,40.0,40.0,40.0,43.0,45.0,45.0,45.0,45.0,49.0,49.0,49.0,53.0,53.0,58.0,64.0,64.0,67,67
Qinghai,Mainland China,35.65945,96.02564,,,,,,,1.0,1.0,1.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,9.0,11.0,13.0,15.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18,18
Shaanxi,Mainland China,35.19165,108.8701,,,3.0,3.0,5.0,5.0,15.0,15.0,22.0,22.0,35.0,35.0,35.0,46.0,46.0,56.0,56.0,56.0,56.0,63.0,87.0,101.0,116.0,128.0,142.0,165.0,165.0,173.0,173.0,173.0,184.0,195.0,195.0,208.0,208.0,213.0,213.0,213.0,219.0,219.0,225.0,229.0,229.0,229,230
Shandong,Mainland China,36.34377,118.1529,1.0,2.0,6.0,9.0,15.0,21.0,27.0,39.0,46.0,63.0,75.0,75.0,87.0,95.0,95.0,121.0,130.0,130.0,145.0,158.0,184.0,206.0,246.0,270.0,270.0,298.0,307.0,343.0,347.0,347.0,386.0,407.0,416.0,435.0,444.0,459.0,466.0,466.0,487.0,497.0,497.0,506.0,509.0,519,523
Shanghai,Mainland China,31.20327,121.4554,9.0,9.0,16.0,20.0,20.0,33.0,33.0,40.0,40.0,53.0,53.0,53.0,66.0,66.0,66.0,80.0,96.0,96.0,101.0,112.0,135.0,169.0,193.0,208.0,208.0,233.0,243.0,254.0,257.0,257.0,277.0,281.0,286.0,292.0,293.0,295.0,299.0,299.0,303.0,306.0,311.0,313.0,315.0,318,318
Shanxi,Mainland China,37.577690000000004,112.2922,,1.0,1.0,1.0,1.0,6.0,6.0,9.0,9.0,13.0,13.0,13.0,20.0,20.0,27.0,27.0,27.0,27.0,35.0,35.0,39.0,47.0,66.0,74.0,74.0,81.0,81.0,90.0,90.0,90.0,96.0,104.0,104.0,115.0,115.0,119.0,119.0,119.0,122.0,124.0,124.0,126.0,126.0,126,126
Sichuan,Mainland China,30.617140000000003,102.7103,2.0,5.0,8.0,15.0,15.0,28.0,28.0,44.0,44.0,69.0,69.0,69.0,90.0,90.0,90.0,108.0,108.0,108.0,142.0,142.0,177.0,207.0,254.0,254.0,282.0,301.0,301.0,321.0,321.0,321.0,344.0,363.0,364.0,386.0,386.0,405.0,405.0,405.0,417.0,436.0,436.0,451.0,451.0,463,463
Tianjin,Mainland China,39.293620000000004,117.333,2.0,4.0,4.0,5.0,8.0,8.0,10.0,13.0,14.0,14.0,22.0,23.0,23.0,24.0,24.0,25.0,27.0,27.0,27.0,31.0,32.0,38.0,48.0,60.0,60.0,67.0,69.0,69.0,78.0,78.0,81.0,88.0,88.0,90.0,90.0,94.0,95.0,95.0,105.0,106.0,112.0,113.0,117.0,119,120
Tibet,Mainland China,30.1534,88.7879,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
Xinjiang,Mainland China,41.11981,85.17822,,,2.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,13.0,13.0,13.0,14.0,14.0,17.0,18.0,24.0,24.0,29.0,32.0,32.0,36.0,36.0,36.0,39.0,42.0,42.0,45.0,45.0,49.0,49.0,49.0,55.0,59.0,59.0,63.0,63.0,65,65
Yunnan,Mainland China,24.97411,101.4868,1.0,1.0,2.0,2.0,5.0,5.0,11.0,11.0,16.0,19.0,26.0,26.0,26.0,44.0,44.0,44.0,55.0,55.0,55.0,70.0,83.0,91.0,105.0,117.0,117.0,122.0,124.0,128.0,133.0,133.0,138.0,138.0,138.0,140.0,141.0,141.0,149.0,149.0,153.0,154.0,154.0,155.0,156.0,156,162
Zhejiang,Mainland China,29.182509999999997,120.0985,5.0,10.0,27.0,43.0,43.0,62.0,62.0,104.0,104.0,128.0,128.0,128.0,173.0,173.0,173.0,296.0,296.0,296.0,428.0,428.0,538.0,599.0,724.0,724.0,829.0,895.0,895.0,954.0,954.0,954.0,1006.0,1048.0,1048.0,1075.0,1075.0,1092.0,1092.0,1092.0,1117.0,1131.0,1131.0,1145.0,1145.0,1155,1155
,Thailand,13.7563,100.5018,2.0,2.0,3.0,4.0,5.0,5.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,19.0,19.0,19.0,19.0,19.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,33,33
,Japan,35.6762,139.6503,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,11.0,11.0,15.0,17.0,20.0,20.0,20.0,22.0,22.0,45.0,45.0,45.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,28.0,28.0,28.0,28,29
,South Korea,37.5665,126.978,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,12.0,15.0,15.0,15.0,16.0,16.0,23.0,23.0,23.0,24.0,36.0,24.0,25.0,25.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28,28
Taiwan,Taiwan,23.6978,120.9605,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,13.0,16.0,16.0,16.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18,18
"Seattle, WA",US,47.7511,-120.74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
"Chicago, IL",US,40.6331,-89.3985,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2
"Tempe, AZ",US,34.0489,-111.094,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
Macau,Macau,22.1987,113.5439,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,10
Hong Kong,Hong Kong,22.3193,114.1694,,,2.0,2.0,2.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,12.0,13.0,15.0,15.0,15.0,18.0,21.0,21.0,21.0,24.0,25.0,26.0,26.0,26.0,29.0,36.0,38.0,38.0,49.0,49.0,50.0,50.0,53.0,53,56
,Singapore,1.3521,103.8198,,,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,13.0,18.0,18.0,18.0,18.0,24.0,24.0,28.0,28.0,28.0,30.0,30.0,33.0,40.0,40.0,43.0,43.0,45.0,45.0,47.0,47.0,50.0,58.0,58,67
,Vietnam,21.0278,105.8342,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,13.0,13.0,13.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,16.0,16,16
,France,46.2276,2.2137,,,,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11,11
,Nepal,28.3949,84.124,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
,Malaysia,4.2105,101.9758,,,,,,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,16.0,16.0,16.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19,19
"Toronto, ON",Canada,43.6532,-79.3832,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2
British Columbia,Canada,49.2827,-123.12100000000001,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4
"Orange, CA",US,33.7879,-117.8531,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
"Los Angeles, CA",US,34.0522,-118.2437,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
New South Wales,Australia,-33.8688,151.2093,,,,,,,,,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4
Victoria,Australia,-37.8136,144.9631,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4
Queensland,Australia,-27.4698,153.0251,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5
,Cambodia,12.5657,104.991,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
,Sri Lanka,7.8731,80.7718,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
,Germany,51.1657,10.4515,,,,,,,,,,,,,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,16,16
,Finland,61.9241,25.7482,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
,United Arab Emirates,23.4241,53.8478,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8,8
,Philippines,12.8797,121.774,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3
,India,20.5937,78.9629,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3
"London, ON",Canada,42.9849,-81.2453,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
,Italy,41.8719,12.5674,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3
,UK,55.3781,-3.4360000000000004,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,8.0,8.0,8.0,9.0,9.0,9,9
,Russia,61.523999999999994,105.3188,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2
,Sweden,60.1282,18.6435,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
"Santa Clara, CA",US,37.3541,-121.9552,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2
,Spain,40.4637,-3.7492,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2
South Australia,Australia,-34.9285,138.6007,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2
"Boston, MA",US,42.3601,-71.0589,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
"San Benito, CA",US,36.5761,-120.9876,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2
,Belgium,50.5039,4.4699,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
"Madison, WI",US,43.0731,-89.4012,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
Diamond Princess cruise ship,Others,35.4437,129.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,61.0,61.0,61.0,64.0,64.0,64.0,135.0,135.0,135.0,175.0,175.0,175.0,218,218
"San Diego County, CA",US,32.7157,-117.1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2,2
"San Antonio, TX",US,29.4241,-98.4936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
