Province/State,Country/Region,Lat,Long,1/21/20 22:00,1/22/20 12:00,1/23/20 12:00,1/24/20 0:00,1/24/20 12:00,1/25/20 0:00,1/25/20 12:00,1/25/20 22:00,1/26/20 11:00,1/26/20 23:00,1/27/20 9:00,1/27/20 19:00,1/27/20 20:30,1/28/20 13:00,1/28/20 18:00,1/28/20 23:00,1/29/20 13:30,1/29/20 14:30,1/29/20 21:00,1/30/20 11:00,1/31/20 14:00,2/1/20 10:00,2/2/20 21:00,2/3/20 21:00,2/4/20 9:40,2/4/20 22:00,2/5/20 9:00,2/5/20 23:00,2/6/20 9:00,2/6/20 14:20,2/7/20 20:13,2/7/20 22:50,2/8/20 22:04,2/8/20 23:04,2/9/20 10:30,2/9/20 23:20,2/10/20 10:30,2/10/20 19:30,2/11/20 10:50
Anhui,Mainland China,31.82571,117.2264,,1,9,15,15,39,39,60,60,70,70,70,106,106,106,152,152,152,200,200,237,297,408,480,480,530,530,591,591,591,665,733,733,779,779,830,830,830,860
Beijing,Mainland China,40.18238,116.4142,10,14,22,26,36,36,41,51,68,68,72,80,80,91,91,91,111,111,111,114,139,168,191,212,212,228,253,274,274,274,297,315,315,326,326,337,337,337,342
Chongqing,Mainland China,30.05718,107.874,5,6,9,27,27,57,57,75,75,110,110,110,132,132,132,147,147,147,165,182,211,247,300,337,337,366,376,389,400,400,415,426,428,446,450,468,473,486,489
Fujian,Mainland China,26.07783,117.9895,,1,5,5,10,10,18,18,35,35,56,59,59,80,80,82,84,84,101,101,120,144,159,179,179,194,205,215,215,215,224,239,239,250,250,261,261,261,267
Gansu,Mainland China,36.0611,103.8343,,,2,2,2,4,4,7,7,14,14,14,19,19,19,24,24,24,26,26,29,35,51,55,55,57,57,62,62,62,67,71,79,79,79,83,83,86,86
Guangdong,Mainland China,23.33841,113.422,17,26,32,53,53,78,78,98,111,146,151,151,151,207,207,241,277,277,311,354,436,535,683,725,797,870,895,944,970,970,1034,1075,1095,1120,1131,1151,1159,1159,1177
Guangxi,Mainland China,23.82908,108.7881,,2,5,13,23,23,23,33,36,46,46,46,51,51,51,58,58,58,78,78,87,100,127,139,139,150,150,168,168,168,172,183,183,195,195,210,210,210,215
Guizhou,Mainland China,26.81536,106.8748,,1,3,3,3,4,4,5,5,7,7,7,9,9,9,9,9,9,12,12,29,29,46,56,56,64,64,69,71,71,81,89,89,96,99,109,109,109,127
Hainan,Mainland China,19.19673,109.7455,,4,5,8,8,17,19,19,22,22,33,33,33,40,40,43,43,43,43,46,52,62,71,79,79,91,91,100,106,106,117,124,124,128,131,136,138,138,144
Hebei,Mainland China,38.0428,114.5149,,1,1,2,2,8,8,13,13,18,18,18,33,33,33,48,48,48,65,65,82,96,113,126,126,135,135,157,157,157,172,195,195,206,206,218,218,218,239
Heilongjiang,Mainland China,47.862,127.7622,,,2,4,4,9,9,15,15,21,21,21,30,33,33,37,38,38,43,44,59,80,95,155,155,190,190,227,227,227,277,295,295,307,307,331,331,331,360
Henan,Mainland China,33.88202,113.614,,5,5,9,9,32,32,83,83,128,128,128,168,168,168,206,206,206,278,278,352,422,566,675,675,764,764,851,851,851,914,981,981,1033,1033,1073,1073,1073,1105
Hubei,Mainland China,30.97564,112.2707,270,444,444,549,549,729,761,1052,1058,1423,1423,1423,2714,2714,3554,3554,3554,3554,4586,4903,5806,7153,11177,13522,13522,16678,16678,19665,19665,19665,22112,24953,24953,27100,27100,29631,29631,31728,31728
Hunan,Mainland China,27.61041,111.7088,1,4,9,24,24,43,43,69,69,100,100,100,100,143,143,221,221,221,277,277,332,389,521,521,593,661,661,711,711,711,772,803,803,838,838,879,879,879,912
Inner Mongolia,Mainland China,44.09448,113.9456,,,,1,1,2,7,7,7,11,11,11,11,15,15,16,16,16,16,19,20,23,27,34,34,42,42,46,46,46,50,52,52,54,54,58,58,58,58
Jiangsu,Mainland China,32.97027,119.464,,1,5,9,9,18,18,31,33,47,47,47,70,70,70,99,99,99,129,129,168,202,271,308,308,341,341,373,373,373,408,439,439,468,468,492,492,492,515
Jiangxi,Mainland China,27.61401,115.7221,2,2,7,7,18,18,18,36,36,48,48,72,72,72,109,109,109,109,162,162,240,286,391,391,476,548,548,600,600,600,661,698,698,740,740,771,771,771,804
Jilin,Mainland China,43.66657,126.1917,,,1,3,3,4,4,4,4,6,6,6,6,8,8,9,9,9,14,14,14,17,31,42,42,54,54,59,59,59,65,69,69,78,78,80,80,81,81
Liaoning,Mainland China,41.29284,122.6086,,2,3,4,4,15,17,19,21,23,27,27,27,34,34,36,39,39,39,41,48,63,70,74,74,81,88,89,91,94,99,99,105,105,107,107,108,108,111
Ningxia,Mainland China,37.26923,106.1655,,1,1,1,2,3,3,4,4,4,7,7,7,11,11,12,12,12,12,17,21,26,28,31,34,34,34,40,40,40,43,45,45,45,45,49,49,49,53
Qinghai,Mainland China,35.65945,96.02564,,,,,,,1,1,1,4,4,6,6,6,6,6,6,6,6,8,8,9,11,13,15,17,17,18,18,18,18,18,18,18,18,18,18,18,18
Shaanxi,Mainland China,35.19165,108.8701,,,3,3,5,5,15,15,22,22,35,35,35,46,46,56,56,56,56,63,87,101,116,128,142,165,165,173,173,173,184,195,195,208,208,213,213,213,219
Shandong,Mainland China,36.34377,118.1529,1,2,6,9,15,21,27,39,46,63,75,75,87,95,95,121,130,130,145,158,184,206,246,270,270,298,307,343,347,347,386,407,416,435,444,459,466,466,487
Shanghai,Mainland China,31.20327,121.4554,9,9,16,20,20,33,33,40,40,53,53,53,66,66,66,80,96,96,101,112,135,169,193,208,208,233,243,254,257,257,277,281,286,292,293,295,299,299,303
Shanxi,Mainland China,37.57769,112.2922,,1,1,1,1,6,6,9,9,13,13,13,20,20,27,27,27,27,35,35,39,47,66,74,74,81,81,90,90,90,96,104,104,115,115,119,119,119,122
Sichuan,Mainland China,30.61714,102.7103,2,5,8,15,15,28,28,44,44,69,69,69,90,90,90,108,108,108,142,142,177,207,254,254,282,301,301,321,321,321,344,363,364,386,386,405,405,405,417
Tianjin,Mainland China,39.29362,117.333,2,4,4,5,8,8,10,13,14,14,22,23,23,24,24,25,27,27,27,31,32,38,48,60,60,67,69,69,78,78,81,88,88,90,90,94,95,95,105
Tibet,Mainland China,30.1534,88.7879,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Xinjiang,Mainland China,41.11981,85.17822,,,2,2,2,3,3,4,4,5,5,5,5,10,10,13,13,13,14,14,17,18,24,24,29,32,32,36,36,36,39,42,42,45,45,49,49,49,55
Yunnan,Mainland China,24.97411,101.4868,1,1,2,2,5,5,11,11,16,19,26,26,26,44,44,44,55,55,55,70,83,91,105,117,117,122,124,128,133,133,138,138,138,140,141,141,149,149,153
Zhejiang,Mainland China,29.18251,120.0985,5,10,27,43,43,62,62,104,104,128,128,128,173,173,173,296,296,296,428,428,538,599,724,724,829,895,895,954,954,954,1006,1048,1048,1075,1075,1092,1092,1092,1117
,Thailand,13.7563,100.5018,2,2,3,4,5,5,7,7,8,8,8,8,8,14,14,14,14,14,14,14,19,19,19,19,19,25,25,25,25,25,25,25,32,32,32,32,32,32,32
,Japan,35.6762,139.6503,1,2,2,2,2,2,2,2,4,4,4,4,4,7,7,7,7,7,11,11,15,17,20,20,20,22,22,45,45,45,25,25,25,25,26,26,26,26,26
,South Korea,37.5665,126.978,,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,11,12,15,15,15,16,16,23,23,23,24,36,24,25,25,27,27,27,28
Taiwan,Taiwan,23.6978,120.9605,1,1,1,1,3,3,3,3,4,4,5,5,5,8,8,8,8,8,8,9,10,10,10,10,10,11,11,11,13,16,16,16,17,17,18,18,18,18,18
"Seattle, WA",US,47.7511,-120.74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Chicago, IL",US,40.6331,-89.3985,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Tempe, AZ",US,34.0489,-111.094,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Macau,Macau,22.1987,113.5439,,1,2,2,2,2,2,2,5,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Hong Kong,Hong Kong,22.3193,114.1694,,,2,2,2,5,5,5,8,8,8,8,8,8,8,8,10,10,10,10,12,13,15,15,15,18,21,21,21,24,25,26,26,26,29,36,38,38,49
,Singapore,1.3521,103.8198,,,1,1,3,3,3,3,4,4,4,5,5,7,7,7,7,7,10,10,13,18,18,18,18,24,24,28,28,28,30,30,33,40,40,43,43,45,45
,Vietnam,21.0278,105.8342,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,8,8,8,8,10,10,10,10,10,13,13,13,14,14,14,15
,France,46.2276,2.2137,,,,,2,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11
,Nepal,28.3949,84.124,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Malaysia,4.2105,101.9758,,,,,,3,3,3,4,4,4,4,4,4,4,7,7,7,7,8,8,8,8,8,8,10,10,12,12,12,12,12,16,16,16,18,18,18,18
"Toronto, ON",Canada,43.6532,-79.3832,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
British Columbia,Canada,49.2827,-123.121,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4
"Orange, CA",US,33.7879,-117.8531,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Los Angeles, CA",US,34.0522,-118.2437,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New South Wales,Australia,-33.8688,151.2093,,,,,,,,,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Victoria,Australia,-37.8136,144.9631,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Queensland,Australia,-27.4698,153.0251,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5
,Cambodia,12.5657,104.991,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Sri Lanka,7.8731,80.7718,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Germany,51.1657,10.4515,,,,,,,,,,,,,1,1,4,4,4,4,4,4,5,7,10,10,12,12,12,12,12,12,13,13,13,13,14,14,14,14,14
,Finland,61.9241,25.7482,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,United Arab Emirates,23.4241,53.8478,,,,,,,,,,,,,,,,,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,8,8
,Philippines,12.8797,121.774,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
,India,20.5937,78.9629,,,,,,,,,,,,,,,,,1,,,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"London, ON",Canada,42.9849,-81.2453,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Italy,41.8719,12.5674,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
,UK,55.3781,-3.436,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,8,8
,Russia,61.524,105.3188,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Sweden,60.1282,18.6435,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Santa Clara, CA",US,37.3541,-121.9552,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Spain,40.4637,-3.7492,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
South Australia,Australia,-34.9285,138.6007,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Boston, MA",US,42.3601,-71.0589,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"San Benito, CA",US,36.5761,-120.9876,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Belgium,50.5039,4.4699,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Madison, WI",US,43.0731,-89.4012,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1
Diamond Princess cruise ship,Others,35.4437,129.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,61,61,61,64,64,64,135,135
"San Diego County, CA",US,32.7157,-117.1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1